title,price,rooms,mtts,floor,link,description
"
Piso en plaza Trujillo, Prosperidad - Delicias, Salamanca
",104.900,3 hab.,81 m²,Bajo exterior con ascensor,/inmueble/100808781/,"
Piso en Plaza Trujillo, junto al Paseo del Rollo y el Camino de las
Aguas, una de las zonas más tranquilas de Salamanca, a tan solo diez
minutos de la Plaza Mayor.
El inmueble cuenta con 80 metros cuadrados construidos, distribuidos
en amplio hall, tres dormitorios, baño, cocina equipada y salón-co
"
"
Piso en plaza de San Marcos, San Vicente-Las Úrsulas, Salamanca
",590.000,4 hab.,184 m²,Planta 2ª exterior con ascensor,/inmueble/99964931/,"
IMPRESIONANTE Y LUMINOSO PISO en PLAZA SAN MARCOS, una zona elegante y céntrica de SALAMANCA. Una ubicación inmejorable, en una plaza tranquila, pero en el mismo centro de la ciudad, con todos los servicios a tu disposición, restaurantes, tiendas, colegios y zonas de ocio.
Se trata de una lujosa vi
"
"
Piso en avenida de la Merced, Capuchinos-Glorieta-C. Jardín, Salamanca
",123.000,1 hab.,41 m², exterior con ascensor,/inmueble/100768014/,"
OPORTUNIDAD se vende estupendo apartamento en la zona de CIUDAD JARDIN, cuenta con 1 dormitorio, armario empotrado, 1 baño con bañera y cocina americana sin amueblar, puerta blindada, suelos de tarima flotante, carpintería interior de madera y ventanas de aluminio con doble cristal Climalit, el piso
"
"
Piso en Carmelitas, Salamanca
",330.000,3 hab.,132 m²,Planta 4ª exterior con ascensor,/inmueble/102047008/,"
Impecable piso para entrar a vivir en la zona de Carmelitas! Piso con 132 m2 construidos y 105 m2 útiles. 4º con altura, distribuido en 3 habitaciones y 2 baños, amplio salón y una impecable cocina amueblada y equipada. Se encuentra en buen edificio totalmente rehabilitado con servicios centrales, v
"
"
Piso en calle Volta, San Bernardo, Salamanca
",139.500,3 hab.,85 m²,Planta 3ª exterior sin ascensor,/inmueble/102103627/,"
Se VENDE Piso muy luminoso en la zona de CAMPUS. Tiene una superficie de 85 m2, distribuidos en 3 habitaciones, 1baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Interesados preguntar por E. Gonz
"
"
Casa o chalet independiente en calle Sector, 1, La Platina-Hospital-Campus, Salamanca
",23.500,3 hab.,134 m²,,/inmueble/83709093/,"
En venta vivienda independiente para reformar en el barrio de Pizarrales. Ideal inversores. La vivienda tiene 134 m2 construidos, 95 útiles y está ubicada en una parcela de 130 m2, con posibilidad de edificar hasta 3 alturas. Necesita reforma integral.
ref: 37-29-1222.
"
"
Piso en Carmelitas, Salamanca
",330.000,3 hab.,132 m²,Planta 4ª exterior con ascensor,/inmueble/102047008/,"
Impecable piso para entrar a vivir en la zona de Carmelitas! Piso con 132 m2 construidos y 105 m2 útiles. 4º con altura, distribuido en 3 habitaciones y 2 baños, amplio salón y una impecable cocina amueblada y equipada. Se encuentra en buen edificio totalmente rehabilitado con servicios centrales, v
"
"
Piso en calle Volta, San Bernardo, Salamanca
",139.500,3 hab.,85 m²,Planta 3ª exterior sin ascensor,/inmueble/102103627/,"
Se VENDE Piso muy luminoso en la zona de CAMPUS. Tiene una superficie de 85 m2, distribuidos en 3 habitaciones, 1baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Interesados preguntar por E. Gonz
"
"
Piso en calle Bolívar, Garrido sur, Salamanca
",115.000,3 hab.,90 m²,Planta 4ª exterior con ascensor,/inmueble/101780934/,"
Agencia inmobiliaria de Salamanca, Garrido Sur, Oficina Tecnocasa:
Vende:  Piso en Calle Bolívar, paralela a Avenida Alfonso IX de León y a Calle El Greco.  
El inmueble cuenta con noventa metros cuadrados construidos distribuidos en hall de entrada, tres dormitorios, cocina con galería, un baño,
"
"
Piso en via Gran, San Esteban-San Cristobal, Salamanca
",299.000,3 hab.,120 m²,Planta 6ª exterior con ascensor,/inmueble/102155519/,"
""HOMYFLAT SALAMANCA VENDE EN GRAN VIA""
PLAZA DE GARAJE OPCIONAL POR 35.000€!
Vende de particular a particular y sin comisiones de agencia este piso de 3 dormitorios y 2 baños con reformado, anteriormente 4 dormitorios, con reforma 3 dormitorios, se le dio mas amplitud al piso.
CARACTERISTICAS PR
"
"
Ático en Carmelitas, Salamanca
",249.999,2 hab.,72 m²,Planta 8ª exterior con ascensor,/inmueble/102046244/,"
Solución Inmobiliaria le ofrece en venta, impecable ático en zona Av. Villamayor para entrar a vivir, con ascensor hasta el piso, todo exterior. La vivienda consta de 72 m2 construidos, distribuidos en 2 dormitorios, 1 baño, salón con salida a amplia terraza y cocina independiente con otra terraza.
"
"
Piso en Labradores, Salamanca
",179.000,2 hab.,79 m²,Planta 3ª interior con ascensor,/inmueble/102047063/,"
En Solución Inmobiliaria, tenemos la vivienda perfecta con plaza de garaje y trastero incluido, perfecto para entrar a vivir, en la zona Labradores, junto a Puerta Zamora. La vivienda, es INTERIOR A PATIO aunque la vivienda es luminosa al ser orientación Oeste. Cuenta con 72 m2 construidos, distribu
"
"
Piso en paseo del Rector Esperabé, 18, Universidad-Tenerías, Salamanca
",290.000,3 hab.,119 m²,Planta 1ª exterior con ascensor,/inmueble/101861476/,"
Vivienda de tres dormitorios, el principal con valcon a la avenida de los reyes de españa, y baño incorporado completo (ducha), el otro baño en el pasillo completo con bañera grande, cocina nueva, completamente montada, electroomesticos en acero, calidades de lujo, tarima flotante de madera, ventana
"
"
Piso en Pizarrales, Salamanca
",75.000,3 hab.,88 m²,Planta 3ª exterior con ascensor,/inmueble/100268130/,"
Vivienda en la CARRETERA LEDESMA.
Distribuida en tres dormitorios, salón, cocina y un baño,
Exterior el salón y un dormitorio. Balcón en el salón con vistas a la Carretera Ledesma
Es un 3º de altura, muy luminosa.
Portal sin barreras arquitectónicas.
Cuenta con todos los servicios que pueda necesita
"
"
Piso en Pizarrales, Salamanca
",75.000,1 hab.,40 m²,Bajo exterior con ascensor,/inmueble/102047009/,"
¡Atención inversores y emprendedores! Solución Inmobiliaria presenta un fantástico apartamento catalogado como estudio oficina en planta baja con una ubicación privilegiada.
Con un área de 35 m², este apartamento es ideal para aquellos que buscan oportunidades de negocio o que desean comenzar su pr
"
"
Piso en Vidal, Salamanca
",152.500,1 hab.,50 m²,Planta 1ª exterior con ascensor,/inmueble/976007/,"
Vivienda totalmente amueblada, calefacción individual gas natural, cocina americana totalmente amueblada. Suelos de tarima flotante en dormitorio y de granito pulido en cocina, salón y baño, dos armarios empotrados. Baño con ducha con columna hidromasaje y paredes de mármol. Hilo musical. Puerta bli
"
"
Piso en Chinchibarra, Salamanca
",178.000,3 hab.,97 m²,Planta 4ª interior con ascensor,/inmueble/102151531/,"
Solución Inmobiliaria le ofrece en venta piso en la zona de Av. Federico Anaya, luminosa vivienda al ser una 4º planta, para entrar a vivir. El piso consta de 97 m2 construidos, distribuidos en 3 dormitorios, 1 aseo y un baño completo, salón y cocina independiente con salida a galería.
Calefacción
"
"
Ático en calle de los Tilos, Garrido norte, Salamanca
",169.900,1 hab.,104 m²,Planta 9ª exterior sin ascensor,/inmueble/101244549/,"
¡GRAN OPORTUNIDAD! ÁTICO CON VISTAS ESPECTACULARES EN SALAMANCA.
BE REAL vende este excelente ático situado en una de las zonas más solicitadas de Salamanca. La ubicación del inmueble es inmejorable, con fácil acceso a la Avenida de Federico Anaya, una de las principales arterias de la ciudad, y cer
"
"
Piso en calle Grillo, San Esteban-San Cristobal, Salamanca
",179.500,4 hab.,102 m²,Planta 3ª exterior con ascensor,/inmueble/99808992/,"
PISO EXTERIOR EN EL CORAZÓN DE SALAMANCA
BE REAL comercializa la venta este céntrico piso ubicado en pleno centro de Salamanca, a tan sólo cien metros de la Gran Vía. Zona dotada con todos los servicios y muy buena comunicación con el resto de la ciudad, que cuenta con una amplia oferta comercial, d
"
"
Piso en calle San Rafael, Prosperidad - Delicias, Salamanca
",179.000,3 hab.,90 m²,Planta 2ª exterior con ascensor,/inmueble/102125213/,"
Vivienda junto a Camino de las Aguas con 76 m2, distribuidos en tres dormitorios, cocina amueblada y equipada, baño con bañera, aseo. Dispone de terraza por cocina. Plaza de garaje en edificio. Ascensor. Servicios Centrales. Suelos de parquet, ventanas aluminio con cristal climalit, puerta blindada.
"
"
Piso en plaza Mirto, Garrido norte, Salamanca
",132.500,3 hab.,98 m²,Planta 1ª exterior con ascensor,/inmueble/101141982/,"
Agencia inmobiliaria de Salamanca, Garrido Norte, Oficina Tecnocasa:
Vende: Piso en Plaza Mirto, paralela a Avenida Cipreses, a diez minutos del centro de Salamanca.
El inmueble cuenta con noventa y ocho metros cuadrados construidos distribuidos en hall/pasillo de entrada, tres dormitorios, cocina
"
"
Piso en calle Toreses, Rollo - Puente Ladrillo, Salamanca
",110.000,2 hab.,64 m²,Planta 2ª exterior con ascensor,/inmueble/97556274/,"
IMPECABLE, CON PLAZA DE GARAJE, estancias con balcones. EN TORESES, quedaría TOTALMENTE AMUEBLADO, como aparece en las fotos.
Vivienda distribuida en dos dormitorios con balcón, el principal con armarios empotrado, salón con cocina Americana y con salida a balcón, cocina amueblada y con electrodom
"
"
Piso en Labradores, Salamanca
",230.000,4 hab.,106 m²,Planta 2ª exterior con ascensor,/inmueble/102113143/,"
Solución Inmonbiliaria le ofrece junto a Puerta Zamora, amplia vivienda ideal para reformar a su gusto. El piso consta de 106 m2 construidos, distribuidos en 4 dormitorios, 1 de ellos exterior, 2 baños completos, salón exterior y cocina independiente con salida a galería.
Servicios centrales de cal
"
"
Piso en Garrido norte, Salamanca
",141.900,3 hab.,93 m²,Planta 1ª exterior con ascensor,/inmueble/102047074/,"
Solución Inmobiliaria le ofrece una vivienda totalmente exterior junto a la Avenida de los Cedros, 1º de altura. Con una superficie aproximada de 80 m2, distribuidos en 3 habitaciones y 2 baños, salón y cocina amueblada y equipada. Edificio con ascensor, calefacción de gas natural, poca comunidad 50
"
"
Piso en calle Alcalde Antonio Estella, La Salle - Vistahermosa, Salamanca
",115.000,2 hab.,84 m²,Planta 2ª exterior sin ascensor,/inmueble/102094308/,"
PISO EN VENTA EN LOS ALCALDES EN CALLE ALCALDE ANTONIO ESTELLA
-PISO 2 DORMITORIOS CON PLAZA DE GARAJE INCLUIDA Y PISCINA COMUNITARIA-
CARACTERISTICAS PRICIPALES DE LA VIVIENDA:
Piso de 84m2 Construidos, 75m2 Útiles, Cocina amueblada e independiente.
Salón, Cocina, 2 Dormitorios, 1 Baño.
2 p
"
"
Piso en Garrido sur, Salamanca
",89.000,3 hab.,115 m²,Entreplanta exterior con ascensor,/inmueble/102047102/,"
Solución inmobiliaria le ofrece una gran oportunidad de inversión en la zona de Los Ovalle. Ubicado en la entreplanta de un gran edifico, Local-Loft distribuido en oficina de 60 m2 y loft recién reformado de 55 m2. Baño independiente. POSIBILIDAD DE UNIRLOS! Comunidad por servicios centrales 45€/mes
"
"
Piso en Salesas, Salamanca
",160.000,4 hab.,109 m²,Planta 2ª exterior con ascensor,/inmueble/102047033/,"
Solución Inmobiliaria le ofrece un piso a la venta en la zona Van Dyck.
Con una superficie construida de 109 m2 construidos, distribuida en 4 dormitorios, uno de ellos exterior, 1 baño, salón con salida a balcón, cocina amueblada y equipada con salida a galería y despensa. (Posibilidad de hacer un a
"
"
Piso en San Esteban-San Cristobal, Salamanca
",170.000,3 hab.,98 m²,Planta 3ª interior sin ascensor,/inmueble/102046039/,"
Solución Inmobiliaria ofrece EN VENTA magnífico piso en el centro de Salamanca.
El inmueble tiene una superficie aproximada de 98m² que se distribuye en, salón amplio con balcón, cocina completamente equipada con despensa y salida a la galería, tres dormitorios amplios, baño completo con plato de d
"
"
Ático en La Salle - Vistahermosa, Salamanca
",109.000,1 hab.,70 m²,Planta 3ª exterior con ascensor,/inmueble/102047034/,"
Solución Inmobiliaria vende ÁTICO, precioso ático muy cuidado y muy luminoso, con una terraza de 20 metros, preparado para entrar a vivir. Es todo exterior, y muy luminoso. Tiene piscina comunitaria y zonas deportivas comunes. Incluye plaza de garaje! Está en una zona tranquila y puedes disfrutar de
"
"
Piso en avenida Campoamor, Prosperidad - Delicias, Salamanca
",155.000,3 hab.,95 m²,Planta 1ª exterior con ascensor,/inmueble/100066059/,"
Vivienda frente a Museo de Comercio con 81 m2, distribuidos en tres dormitorios, salón con salida a amplio balcón, cocina y baño. Comunidad con Servicios Centrales. Ascensor. Portal sin barreras arquitectónicas y recién reformado. Altura 1ª. Orientación Este. Vivienda a reformar y dejar a su gusto.
"
"
Piso en calle García Tejado, s/n, San Vicente-Las Úrsulas, Salamanca
",131.800,4 hab.,82 m²,,/inmueble/100499528/,"
Piso con 4 habitaciones en salamanca capital, en la calle garcia tejado. Con incidencias: inmueble alquilado - no visitable.
"
"
Piso en paseo de Canalejas, Prosperidad - Delicias, Salamanca
",295.000,5 hab.,196 m²,Planta 2ª exterior con ascensor,/inmueble/100845665/,"
Este piso es una oportunidad única en la ciudad de Salamanca, por su ubicación privilegiada muy céntrica junto a la Plaza de España y el Parque de la Alamedilla. El edificio se encuentra en una avenida principal de la ciudad, Av Canalejas lo que le confiere una excelente accesibilidad y una gran vis
"
